service,date,aircraft,location,lat,lon,target,numweapons,timeon,weapon,weaponweight,missionfunction,numaircraft,unit,timeoff
USAF,10/1/1965,RF-101,TAN SON NHUT,9.12864251,105.1790731,AREA\DEPOT,0,847,,0,PHOTO RECCE,1,JAJQPA,847
USAF,10/1/1965,A-1,BIEN HOA,9.33564324,105.8822675,TROOPS,0,1745,,0,STRIKE,4,JAAGD0,808
USAF,10/1/1965,A-1,BIEN HOA,9.33564324,105.8822675,TROOPS,16,1745,250LB M-57,272,STRIKE,4,JAAGD0,808
USAF,10/1/1965,A-1,BIEN HOA,9.33564324,105.8822675,TROOPS,32,1745,500LB GP M-64,561,STRIKE,4,JAAGD0,808
USAF,10/1/1965,A-1,BIEN HOA,9.3365477,105.8822697,TROOPS,0,1717,,0,STRIKE,2,JAEWX0,1734
USAF,10/1/1965,A-1,BIEN HOA,9.3365477,105.8822697,TROOPS,2,1717,100LB PWP M-47,105,STRIKE,2,JAEWX0,1734
USAF,10/1/1965,A-1,BIEN HOA,9.3365477,105.8822697,TROOPS,26,1717,200/260 M81/88,263,STRIKE,2,JAEWX0,1734
USAF,10/1/1965,A-1,BIEN HOA,9.3365477,105.8822697,TROOPS,10,1717,M-39,50,STRIKE,2,JAEWX0,1734
USAF,10/1/1965,RF-101,TAN SON NHUT,9.34447975,105.9624305,AREA\DEPOT,0,950,,0,PHOTO RECCE,1,JAJQPA,950
USAF,10/1/1965,F-100,TAN SON NHUT,9.50315722,105.1173013,TROOPS,0,850,,0,STRIKE,4,JAJJP0,900
USAF,10/1/1965,F-100,TAN SON NHUT,9.50315722,105.1173013,TROOPS,6,850,750LB BLU-1/27,694,STRIKE,4,JAJJP0,900
USAF,10/1/1965,F-100,TAN SON NHUT,9.50315722,105.1173013,TROOPS,18,850,M-39,50,STRIKE,4,JAJJP0,900
USAF,10/1/1965,FC-47,BIEN HOA,9.68629033,106.4875044,AREA\DEPOT,0,1230,,0,STRIKE,1,JAAGD0,1250
USAF,10/1/1965,FC-47,BIEN HOA,9.68629033,106.4875044,AREA\DEPOT,100,1230,30 CAL,50,STRIKE,1,JAAGD0,1250
USAF,10/1/1965,F-100,TAN SON NHUT,9.99225097,105.4350353,BUILDINGS,0,915,,0,STRIKE,4,JAJJPO,925
USAF,10/1/1965,F-100,TAN SON NHUT,9.99225097,105.4350353,BUILDINGS,14,915,CBU-2,743,STRIKE,4,JAJJPO,925
USAF,10/1/1965,F-100,TAN SON NHUT,9.99225097,105.4350353,BUILDINGS,24,915,M-39,50,STRIKE,4,JAJJPO,925
USAF,10/1/1965,F-100,TAN SON NHUT,9.9922569,105.4304727,,0,1030,,0,STRIKE,3,JAJJPO,1045
USAF,10/1/1965,F-100,TAN SON NHUT,9.9922569,105.4304727,,11,1030,750LB BLU-1/27,694,STRIKE,3,JAJJPO,1045
USAF,10/1/1965,F-100,TAN SON NHUT,9.9922569,105.4304727,,22,1030,M-39,50,STRIKE,3,JAJJPO,1045
USAF,10/1/1965,FC-47,BIEN HOA,10.16693261,106.7543575,TROOPS,0,1755,,0,STRIKE,1,JAAGD0,1900
USAF,10/1/1965,FC-47,BIEN HOA,10.16693261,106.7543575,TROOPS,50,1755,30 CAL,50,STRIKE,1,JAAGD0,1900
USAF,10/1/1965,F-100,TAN SON NHUT,10.3181377,106.0885511,BUILDINGS,0,840,,0,STRIKE,2,JAJJPO,855
